Participant ID,Session,Attempt,Error Angle,Hit
AE,1,1,147.91,False
AE,1,2,3.78,True
AE,1,3,1.95,True
AE,1,4,-2.62,True
AE,1,5,1.15,True
AE,1,6,3.35,True
AE,1,7,2.63,True
AE,1,8,-0.59,True
AE,1,9,-2.85,True
AE,1,10,0.95,True
AE,1,11,2.18,True
AE,1,12,1.55,True
AE,1,13,-5.62,False
AE,1,14,0.21,True
AE,1,15,-0.36,True
AE,1,16,-5.23,False
AE,1,17,-1.42,True
AE,1,18,-3.94,False
AE,1,19,-4.46,False
AE,1,20,-1.53,True
AE,1,21,24.18,False
AE,1,22,27.2,False
AE,1,23,38.01,False
AE,1,24,24.39,False
AE,1,25,21.4,False
AE,1,26,20.81,False
AE,1,27,27.56,False
AE,1,28,20.9,False
AE,1,29,19.95,False
AE,1,30,24.51,False
AE,1,31,24.58,False
AE,1,32,29.52,False
AE,1,33,21.23,False
