Participant ID,Session,Attempt,Error Angle,Hit
Al,1,1,-95.64,False
Al,1,2,3.51,True
Al,1,3,-6.42,False
Al,1,4,-8.43,False
Al,1,5,-12.2,False
Al,1,6,-0.4,True
Al,1,7,-9.02,False
Al,1,8,-3.12,True
Al,1,9,-3.09,True
Al,1,10,-6.49,False
Al,1,11,-15.52,False
Al,1,12,-3.56,False
Al,1,13,-3.11,False
Al,1,14,-2.49,True
Al,1,15,-7.75,False
Al,1,16,-7.45,False
Al,1,17,-1.45,False
Al,1,18,0.1,True
Al,1,19,-8.58,False
Al,1,20,-9.77,False
Al,1,21,16.93,False
Al,1,22,6.81,False
Al,1,23,4.4,False
Al,1,24,2.96,False
Al,1,25,4.31,False
Al,1,26,3.26,True
Al,1,27,-3.49,True
Al,1,28,4.09,False
Al,1,29,6.15,False
Al,1,30,4.65,False
Al,1,31,13.95,False
Al,1,32,0.67,True
Al,1,33,4.23,False
Al,1,34,-1.65,False
Al,1,35,5.26,False
Al,1,36,4.43,False
Al,1,37,-0.99,True
Al,1,38,3.42,True
Al,1,39,1.05,True
Al,1,40,1.7,True
Al,1,41,0.82,True
Al,1,42,4.87,False
Al,1,43,11.41,False
Al,1,44,3.24,True
Al,1,45,9.11,False
Al,1,46,5.26,False
Al,1,47,4.0,False
Al,1,48,-0.24,True
Al,1,49,2.37,True
Al,1,50,2.56,True
Al,1,51,4.43,False
Al,1,52,5.68,False
Al,1,53,4.53,False
Al,1,54,-3.29,True
Al,1,55,1.23,True
Al,1,56,8.77,False
Al,1,57,3.96,False
Al,1,58,2.83,True
Al,1,59,4.37,False
Al,1,60,7.36,False
Al,1,61,4.46,False
Al,1,62,2.54,True
Al,1,63,1.29,False
Al,1,64,4.61,False
Al,1,65,2.95,False
Al,1,66,6.21,False
Al,1,67,-4.23,False
Al,1,68,-1.0,True
Al,1,69,1.06,False
Al,1,70,1.1,True
Al,1,71,2.27,False
Al,1,72,8.72,False
Al,1,73,-3.01,True
Al,1,74,-3.54,False
Al,1,75,5.01,False
Al,1,76,-1.66,True
Al,1,77,5.18,False
Al,1,78,2.65,True
Al,1,79,14.17,False
Al,1,80,3.8,False
Al,1,81,-15.86,False
Al,1,82,-11.96,False
Al,1,83,-12.24,False
Al,1,84,-15.21,False
Al,1,85,-7.12,False
Al,1,86,-1.67,True
Al,1,87,-6.86,False
Al,1,88,-6.96,False
Al,1,89,-4.57,False
Al,1,90,-14.89,False
Al,1,91,-15.0,False
Al,1,92,-11.07,False
Al,1,93,-9.88,False
Al,1,94,-8.35,False
Al,1,95,-11.89,False
Al,1,96,-9.91,False
Al,1,97,-6.84,False
Al,1,98,-7.53,False
Al,1,99,-9.14,False
Al,1,100,-5.57,False
Al,1,101,-4.39,False
Al,1,102,-11.71,False
Al,1,103,-7.38,False
Al,1,104,-1.37,True
Al,1,105,-6.29,False
Al,1,106,-5.28,False
Al,1,107,-6.32,False
Al,1,108,-1.21,True
Al,1,109,-0.74,True
Al,1,110,-4.31,False
Al,1,111,-4.81,False
Al,1,112,-1.42,True
Al,1,113,-9.13,False
Al,1,114,-9.88,False
Al,1,115,-5.11,False
Al,1,116,-2.09,False
Al,1,117,-0.74,True
Al,1,118,-8.02,False
Al,1,119,-10.0,False
Al,1,120,-9.76,False
Al,1,121,16.53,False
Al,1,122,17.11,False
Al,1,123,11.54,False
Al,1,124,9.78,False
Al,1,125,1.6,True
Al,1,126,5.61,False
Al,1,127,2.05,True
Al,1,128,2.63,False
Al,1,129,0.87,True
Al,1,130,5.72,False
Al,1,131,1.79,False
Al,1,132,3.36,False
Al,1,133,-3.46,True
Al,1,134,1.65,False
Al,1,135,2.57,False
Al,1,136,3.81,False
Al,1,137,0.42,True
Al,1,138,-2.75,False
Al,1,139,1.96,True
Al,1,140,-2.69,True
Al,1,141,-2.96,True
Al,1,142,6.74,False
Al,1,143,-0.56,False
Al,1,144,-5.36,False
Al,1,145,-10.49,False
Al,1,146,0.97,True
Al,1,147,6.12,False
Al,1,148,0.14,True
Al,1,149,-0.24,True
Al,1,150,2.62,False
Al,1,151,2.68,False
Al,1,152,3.22,False
Al,1,153,1.68,False
Al,1,154,6.02,False
Al,1,155,0.36,False
Al,1,156,2.66,False
Al,1,157,1.26,True
Al,1,158,-2.58,False
Al,1,159,2.03,True
Al,1,160,-2.04,True
Al,1,161,3.81,False
Al,1,162,-2.89,True
Al,1,163,3.68,False
Al,1,164,-6.85,False
Al,1,165,-0.82,True
Al,1,166,-1.68,True
Al,1,167,-5.89,False
Al,1,168,-4.25,False
Al,1,169,-10.71,False
Al,1,170,-8.26,False
Al,1,171,-14.51,False
Al,1,172,7.34,False
Al,1,173,-1.55,True
Al,1,174,0.21,False
Al,1,175,-3.07,False
Al,1,176,-18.32,False
Al,1,177,-4.64,False
Al,1,178,-8.53,False
Al,1,179,-6.31,False
Al,1,180,5.51,False
Al,1,181,-17.08,False
Al,1,182,-15.58,False
Al,1,183,-11.96,False
Al,1,184,-11.53,False
Al,1,185,-6.54,False
Al,1,186,-7.39,False
Al,1,187,-9.38,False
Al,1,188,-8.6,False
Al,1,189,-11.35,False
Al,1,190,-2.91,True
Al,1,191,-3.85,False
Al,1,192,1.23,True
Al,1,193,-6.33,False
Al,1,194,-5.52,False
Al,1,195,-2.01,False
Al,1,196,-2.93,False
Al,1,197,-9.28,False
Al,1,198,-5.92,False
Al,1,199,-3.23,False
Al,1,200,-7.28,False
Al,1,201,-8.43,False
